gen,name,GO,description,meta
Locus_104_Transcript_16_Length_8781_genewise_newlength_8781__CDS__407__3487,NA,GO:0005515,protein binding,F
Locus_24848_Transcript_3_Length_2257_genewise_newlength_2257__CDS__994__1791,NA,GO:0005515,protein binding,F
Locus_14_Transcript_5_Length_15290_genewise_newlength_15288__CDS__516__15065,NA,GO:0008270,zinc ion binding,F
Locus_14_Transcript_5_Length_15290_genewise_newlength_15288__CDS__516__15065,NA,GO:0005515,protein binding,F
Locus_14_Transcript_5_Length_15290_genewise_newlength_15288__CDS__516__15065,NA,GO:0004842,ubiquitin-protein ligase activity,F
Locus_6280_Transcript_15_Length_2327_genewise_newlength_2325__CDS__483__2282,NA,GO:0005515,protein binding,F
Locus_6280_Transcript_15_Length_2327_genewise_newlength_2325__CDS__483__2282,NA,GO:0000151,ubiquitin ligase complex,C
Locus_6280_Transcript_15_Length_2327_genewise_newlength_2325__CDS__483__2282,NA,GO:0004842,ubiquitin-protein ligase activity,F
Locus_6280_Transcript_15_Length_2327_genewise_newlength_2325__CDS__483__2282,NA,GO:0016567,protein ubiquitination,P
Locus_365_Transcript_90_Length_9387_genewise_newlength_9383__CDS__7649__9046,NA,GO:0055114,oxidation-reduction process,P
Locus_365_Transcript_90_Length_9387_genewise_newlength_9383__CDS__7649__9046,NA,GO:0051537,"2 iron, 2 sulfur cluster binding",F
Locus_365_Transcript_90_Length_9387_genewise_newlength_9383__CDS__7649__9046,NA,GO:0010277,chlorophyllide a oxygenase [overall] activity,F
Locus_6344_Transcript_6_Length_8156_genewise_newlength_8150__CDS__5928__7979,NA,GO:0006278,RNA-dependent DNA replication,P
Locus_6344_Transcript_6_Length_8156_genewise_newlength_8150__CDS__5928__7979,NA,GO:0003723,RNA binding,F
Locus_6344_Transcript_6_Length_8156_genewise_newlength_8150__CDS__5928__7979,NA,GO:0003964,RNA-directed DNA polymerase activity,F
Locus_6344_Transcript_6_Length_8156_genewise_newlength_8150__CDS__5928__7979,NA,GO:0004523,ribonuclease H activity,F
Locus_694_Transcript_6_Length_12146_genewise_newlength_12000__CDS__284__11332,NA,GO:0016773,"phosphotransferase activity, alcohol group as acceptor",F
Locus_694_Transcript_6_Length_12146_genewise_newlength_12000__CDS__284__11332,NA,GO:0005515,protein binding,F
Locus_3425_Transcript_11_Length_10091_genewise_newlength_10091__CDS__2042__9703,NA,GO:0005515,protein binding,F
Locus_870_Transcript_6_Length_12948_genewise_newlength_12948__CDS__2051__12748,NA,GO:0005488,binding,F
Locus_1827_Transcript_3_Length_8393_genewise_newlength_8393__CDS__1117__5136,NA,GO:0055114,oxidation-reduction process,P
Locus_1827_Transcript_3_Length_8393_genewise_newlength_8393__CDS__1117__5136,NA,GO:0016491,oxidoreductase activity,F
Locus_1827_Transcript_3_Length_8393_genewise_newlength_8393__CDS__1117__5136,NA,GO:0005515,protein binding,F
Locus_1827_Transcript_3_Length_8393_genewise_newlength_8393__CDS__1117__5136,NA,GO:0003677,DNA binding,F
Locus_1827_Transcript_3_Length_8393_genewise_newlength_8393__CDS__1117__5136,NA,GO:0006351,"transcription, DNA-dependent",P
Locus_1827_Transcript_3_Length_8393_genewise_newlength_8393__CDS__1117__5136,NA,GO:0005634,nucleus,C
Locus_5850_Transcript_12_Length_8662_genewise_newlength_8662__CDS__2551__6912,NA,GO:0015074,DNA integration,P
Locus_5850_Transcript_12_Length_8662_genewise_newlength_8662__CDS__2551__6912,NA,GO:0003676,nucleic acid binding,F
Locus_1101_Transcript_3_Length_3000_genewise_newlength_2802__CDS__1434__2567,---NA---,GO:0008234,cysteine-type peptidase activity,F
Locus_1101_Transcript_3_Length_3000_genewise_newlength_2802__CDS__1434__2567,---NA---,GO:0006508,proteolysis,P
Locus_5224_Transcript_4_Length_2801_genewise_newlength_2801__CDS__37__2130,---NA---,GO:0042147,"retrograde transport, endosome to Golgi",P
Locus_962_Transcript_1_Length_2727_genewise_newlength_2617__CDS__99__2387,---NA---,GO:0006904,vesicle docking involved in exocytosis,P
Locus_962_Transcript_1_Length_2727_genewise_newlength_2617__CDS__99__2387,---NA---,GO:0000145,exocyst,C
Locus_1312_Transcript_8_Length_3822_genewise_newlength_3603__CDS__49__3603,---NA---,GO:0005488,binding,F
Locus_1808_Transcript_5_Length_1559_genewise_newlength_1559__CDS__755__1312,#NAME?,GO:0006007,glucose catabolic process,P
Locus_1808_Transcript_5_Length_1559_genewise_newlength_1559__CDS__755__1312,#NAME?,GO:0000906,"6,7-dimethyl-8-ribityllumazine synthase activity",F
Locus_1808_Transcript_5_Length_1559_genewise_newlength_1559__CDS__755__1312,#NAME?,GO:0009867,jasmonic acid mediated signaling pathway,P
Locus_1808_Transcript_5_Length_1559_genewise_newlength_1559__CDS__755__1312,#NAME?,GO:0009231,riboflavin biosynthetic process,P
Locus_1808_Transcript_5_Length_1559_genewise_newlength_1559__CDS__755__1312,#NAME?,GO:0009570,chloroplast stroma,C
