gene,name,GO,description,meta
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0006833,water transport,P
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0007033,vacuole organization,P
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0009793,embryo development ending in seed dormancy,P
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0009697,salicylic acid biosynthetic process,P
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0007010,cytoskeleton organization,P
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0003994,aconitate hydratase activity,F
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0009815,1-aminocyclopropane-1-carboxylate oxidase activity,F
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0005507,copper ion binding,F
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0016706,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors",F
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0010363,regulation of plant-type hypersensitive response,P
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0071281,cellular response to iron ion,P
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0010200,response to chitin,P
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0006102,isocitrate metabolic process,P
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0009693,ethylene biosynthetic process,P
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0030003,cellular cation homeostasis,P
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0005783,endoplasmic reticulum,C
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0019344,cysteine biosynthetic process,P
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0031348,negative regulation of defense response,P
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0009805,coumarin biosynthetic process,P
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0050832,defense response to fungus,P
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0006101,citrate metabolic process,P
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0070838,divalent metal ion transport,P
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0005829,cytosol,C
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0006096,glycolysis,P
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0010260,organ senescence,P
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0009867,jasmonic acid mediated signaling pathway,P
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0009651,response to salt stress,P
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0009506,plasmodesma,C
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0009266,response to temperature stimulus,P
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0010030,positive regulation of seed germination,P
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0009595,detection of biotic stimulus,P
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0042742,defense response to bacterium,P
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0009737,response to abscisic acid stimulus,P
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0006612,protein targeting to membrane,P
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0009060,aerobic respiration,P
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0010167,response to nitrate,P
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0015979,photosynthesis,P
