gene,name,GO,description,meta
Locus_567_Transcript_7_Length_14353_genewise_newlength_14188__CDS__119__14011.orfnuc.phy,NA,GO:0005515,protein binding,F
Locus_567_Transcript_7_Length_14353_genewise_newlength_14188__CDS__119__14011.orfnuc.phy,NA,GO:0008270,zinc ion binding,F
Locus_567_Transcript_7_Length_14353_genewise_newlength_14188__CDS__119__14011.orfnuc.phy,NA,GO:0005524,ATP binding,F
Locus_27702_Transcript_1_Length_317_genewise_newlength_317__CDS__121__258.orfnuc.phy,---NA---,GO:0003676,nucleic acid binding,F
Locus_27702_Transcript_1_Length_317_genewise_newlength_317__CDS__121__258.orfnuc.phy,---NA---,GO:0008270,zinc ion binding,F
Locus_3247_Transcript_6_Length_4157_genewise_newlength_3584__CDS__232__3189.orfnuc.phy,---NA---,GO:0016192,vesicle-mediated transport,P
Locus_3247_Transcript_6_Length_4157_genewise_newlength_3584__CDS__232__3189.orfnuc.phy,---NA---,GO:0006886,intracellular protein transport,P
Locus_3573_Transcript_5_Length_2456_genewise_newlength_2242__CDS__264__1529.orfnuc.phy,---NA---,GO:0008408,3'-5' exonuclease activity,F
Locus_3573_Transcript_5_Length_2456_genewise_newlength_2242__CDS__264__1529.orfnuc.phy,---NA---,GO:0003676,nucleic acid binding,F
Locus_3573_Transcript_5_Length_2456_genewise_newlength_2242__CDS__264__1529.orfnuc.phy,---NA---,GO:0006139,nucleobase-containing compound metabolic process,P
Locus_4773_Transcript_14_Length_5332_genewise_newlength_5332__CDS__1269__5129.orfnuc.phy,---NA---,GO:0005515,protein binding,F
Locus_7168_Transcript_10_Length_3406_genewise_newlength_3406__CDS__252__3194.orfnuc.phy,---NA---,GO:0008484,sulfuric ester hydrolase activity,F
Locus_7168_Transcript_10_Length_3406_genewise_newlength_3406__CDS__252__3194.orfnuc.phy,---NA---,GO:0006506,GPI anchor biosynthetic process,P
Locus_7168_Transcript_10_Length_3406_genewise_newlength_3406__CDS__252__3194.orfnuc.phy,---NA---,GO:0016740,transferase activity,F
Locus_7168_Transcript_10_Length_3406_genewise_newlength_3406__CDS__252__3194.orfnuc.phy,---NA---,GO:0005789,endoplasmic reticulum membrane,C
Locus_7604_Transcript_6_Length_1454_genewise_newlength_1454__CDS__548__1054.orfnuc.phy,-like protein 2,GO:0016226,iron-sulfur cluster assembly,P
Locus_7604_Transcript_6_Length_1454_genewise_newlength_1454__CDS__548__1054.orfnuc.phy,-like protein 2,GO:0009658,chloroplast organization,P
Locus_7604_Transcript_6_Length_1454_genewise_newlength_1454__CDS__548__1054.orfnuc.phy,-like protein 2,GO:0009570,chloroplast stroma,C
Locus_7604_Transcript_6_Length_1454_genewise_newlength_1454__CDS__548__1054.orfnuc.phy,-like protein 2,GO:0005198,structural molecule activity,F
Locus_7604_Transcript_6_Length_1454_genewise_newlength_1454__CDS__548__1054.orfnuc.phy,-like protein 2,GO:0005506,iron ion binding,F
Locus_7604_Transcript_6_Length_1454_genewise_newlength_1454__CDS__548__1054.orfnuc.phy,-like protein 2,GO:0051536,iron-sulfur cluster binding,F
Locus_366_Transcript_15_Length_4151_genewise_newlength_4136__CDS__2310__3767.orfnuc.phy,#NAME?,GO:0031425,chloroplast RNA processing,P
Locus_366_Transcript_15_Length_4151_genewise_newlength_4136__CDS__2310__3767.orfnuc.phy,#NAME?,GO:0003746,translation elongation factor activity,F
Locus_366_Transcript_15_Length_4151_genewise_newlength_4136__CDS__2310__3767.orfnuc.phy,#NAME?,GO:0010468,regulation of gene expression,P
Locus_366_Transcript_15_Length_4151_genewise_newlength_4136__CDS__2310__3767.orfnuc.phy,#NAME?,GO:0005525,GTP binding,F
Locus_366_Transcript_15_Length_4151_genewise_newlength_4136__CDS__2310__3767.orfnuc.phy,#NAME?,GO:0000302,response to reactive oxygen species,P
Locus_366_Transcript_15_Length_4151_genewise_newlength_4136__CDS__2310__3767.orfnuc.phy,#NAME?,GO:0006996,organelle organization,P
Locus_366_Transcript_15_Length_4151_genewise_newlength_4136__CDS__2310__3767.orfnuc.phy,#NAME?,GO:0009570,chloroplast stroma,C
Locus_366_Transcript_15_Length_4151_genewise_newlength_4136__CDS__2310__3767.orfnuc.phy,#NAME?,GO:0005886,plasma membrane,C
Locus_366_Transcript_15_Length_4151_genewise_newlength_4136__CDS__2310__3767.orfnuc.phy,#NAME?,GO:0005739,mitochondrion,C
Locus_366_Transcript_15_Length_4151_genewise_newlength_4136__CDS__2310__3767.orfnuc.phy,#NAME?,GO:0003924,GTPase activity,F
Locus_7477_Transcript_1_Length_1860_genewise_newlength_1860__CDS__254__1462.orfnuc.phy,#NAME?,GO:0016020,membrane,C
Locus_3927_Transcript_1_Length_3420_genewise_newlength_3415__CDS__534__3083.orfnuc.phy,#NAME?,GO:0009750,response to fructose stimulus,P
Locus_3927_Transcript_1_Length_3420_genewise_newlength_3415__CDS__534__3083.orfnuc.phy,#NAME?,GO:0005992,trehalose biosynthetic process,P
Locus_3927_Transcript_1_Length_3420_genewise_newlength_3415__CDS__534__3083.orfnuc.phy,#NAME?,GO:0009611,response to wounding,P
Locus_3927_Transcript_1_Length_3420_genewise_newlength_3415__CDS__534__3083.orfnuc.phy,#NAME?,GO:0009744,response to sucrose stimulus,P
Locus_3927_Transcript_1_Length_3420_genewise_newlength_3415__CDS__534__3083.orfnuc.phy,#NAME?,GO:0043085,positive regulation of catalytic activity,P
Locus_3927_Transcript_1_Length_3420_genewise_newlength_3415__CDS__534__3083.orfnuc.phy,#NAME?,GO:1901701,cellular response to oxygen-containing compound,P
Locus_3927_Transcript_1_Length_3420_genewise_newlength_3415__CDS__534__3083.orfnuc.phy,#NAME?,GO:0016099,monoterpenoid biosynthetic process,P
Locus_3927_Transcript_1_Length_3420_genewise_newlength_3415__CDS__534__3083.orfnuc.phy,#NAME?,GO:0004805,trehalose-phosphatase activity,F
Locus_3927_Transcript_1_Length_3420_genewise_newlength_3415__CDS__534__3083.orfnuc.phy,#NAME?,GO:0019252,starch biosynthetic process,P
Locus_3927_Transcript_1_Length_3420_genewise_newlength_3415__CDS__534__3083.orfnuc.phy,#NAME?,GO:0010093,specification of floral organ identity,P
Locus_3927_Transcript_1_Length_3420_genewise_newlength_3415__CDS__534__3083.orfnuc.phy,#NAME?,GO:0006007,glucose catabolic process,P
Locus_3927_Transcript_1_Length_3420_genewise_newlength_3415__CDS__534__3083.orfnuc.phy,#NAME?,GO:0000023,maltose metabolic process,P
Locus_3927_Transcript_1_Length_3420_genewise_newlength_3415__CDS__534__3083.orfnuc.phy,#NAME?,GO:0009753,response to jasmonic acid stimulus,P
Locus_3927_Transcript_1_Length_3420_genewise_newlength_3415__CDS__534__3083.orfnuc.phy,#NAME?,GO:0034768,(E)-beta-ocimene synthase activity,F
Locus_3927_Transcript_1_Length_3420_genewise_newlength_3415__CDS__534__3083.orfnuc.phy,#NAME?,GO:0009507,chloroplast,C
Locus_3927_Transcript_1_Length_3420_genewise_newlength_3415__CDS__534__3083.orfnuc.phy,#NAME?,GO:0071310,cellular response to organic substance,P
Locus_3927_Transcript_1_Length_3420_genewise_newlength_3415__CDS__534__3083.orfnuc.phy,#NAME?,GO:0080027,response to herbivore,P
Locus_3927_Transcript_1_Length_3420_genewise_newlength_3415__CDS__534__3083.orfnuc.phy,#NAME?,GO:0005829,cytosol,C
Locus_3927_Transcript_1_Length_3420_genewise_newlength_3415__CDS__534__3083.orfnuc.phy,#NAME?,GO:0048507,meristem development,P
Locus_3927_Transcript_1_Length_3420_genewise_newlength_3415__CDS__534__3083.orfnuc.phy,#NAME?,GO:0003825,"alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity",F
Locus_3927_Transcript_1_Length_3420_genewise_newlength_3415__CDS__534__3083.orfnuc.phy,#NAME?,GO:0050551,myrcene synthase activity,F
